Sizes;32x32;64x64;128x128;256x256;512x512;1024x1024;2048x2048;4096x4096;8192x8192;
SizePerMatrix;0.008 MiB;0.031 MiB;0.125 MiB;0.500 MiB;2.000 MiB;8.000 MiB;32.000 MiB;128.000 MiB;512.000 MiB;
arr_encode_sum;0.0000699282;0.0002269745;0.0012561560;0.0043622255;0.0166321755;0.0502420187;0.2028388023;0.2176248789;0.7652228117;
arr_encode_avg;0.0000072524;0.0000230638;0.0001280480;0.0004398780;0.0018480195;0.0062802523;0.0507097006;0.2176248789;0.7652228117;
arr_decode_sum;0.0001057625;0.0004107714;0.0031024933;0.0103036881;0.0410725594;0.1064568281;0.2331840038;0.1958761692;0.9140476704;
arr_decode_avg;0.0000109061;0.0000418896;0.0003161481;0.0010403956;0.0045636177;0.0133071035;0.0582960010;0.1958761692;0.9140476704;
arr_offload_send_task_sum;0.0001501083;0.0005126000;0.1034868002;0.1309244633;0.1393412113;0.1915191412;0.2179833651;0.2554698229;0.8766539335;
arr_offload_send_task_avg;0.0000155820;0.0000520836;0.0105414454;0.0132469837;0.0154823568;0.0239398927;0.0544958413;0.2554698229;0.8766539335;
arr_offload_recv_task_sum;0.0000710487;0.0001942396;0.0959793329;0.0975858927;0.0972596168;0.1180815935;0.1957124949;0.2542677641;0.8771768808;
arr_offload_recv_task_avg;0.0000073224;0.0000197697;0.0097891023;0.0098584437;0.0108066241;0.0147601992;0.0489281237;0.2542677641;0.8771768808;
arr_offload_send_res_sum;0.0000570774;0.0001656055;0.0050672293;0.0866645575;0.1056277275;0.1074452877;0.0842430592;0.0843090773;0.2833926439;
arr_offload_send_res_avg;0.0000058918;0.0000169563;0.0005095378;0.0087427455;0.0117364142;0.0134306610;0.0210607648;0.0843090773;0.2833926439;
arr_offload_recv_res_sum;0.0000235796;0.0000641823;0.0004851580;0.0905632496;0.0878489017;0.0890681982;0.0757518530;0.0819726467;0.2832294941;
arr_offload_recv_res_avg;0.0000024252;0.0000065300;0.0000494085;0.0092140963;0.0097609891;0.0111335248;0.0189379633;0.0819726467;0.2832294941;

arr_comb_send_task_avg;0.0000228344;0.0000751474;0.0106694934;0.0136868617;0.0173303763;0.0302201450;0.1052055419;0.4730947018;1.6418767452;
arr_comb_recv_task_avg;0.0000182284;0.0000616593;0.0101052504;0.0108988394;0.0153702418;0.0280673027;0.1072241247;0.4501439333;1.7912245512;
