Sizes;32x32;64x64;128x128;256x256;512x512;1024x1024;2048x2048;4096x4096;8192x8192;
SizePerMatrix;0.008 MiB;0.031 MiB;0.125 MiB;0.500 MiB;2.000 MiB;8.000 MiB;32.000 MiB;128.000 MiB;512.000 MiB;
arr_encode_sum;0.0000055075;0.0000058651;0.0000061035;0.0000055313;0.0000058889;0.0000061512;0.0000047445;0.0000139713;0.0000109673;
arr_encode_avg;0.0000005627;0.0000005865;0.0000006276;0.0000005937;0.0000006276;0.0000006705;0.0000009489;0.0000069857;0.0000109673;
arr_decode_sum;0.0001255751;0.0001141787;0.0001261234;0.0001501322;0.0002303362;0.0010654688;0.0002303362;0.0005844831;0.0001121044;
arr_decode_avg;0.0000128023;0.0000114179;0.0000130447;0.0000160527;0.0000245311;0.0001149758;0.0000460672;0.0002922416;0.0001121044;
arr_offload_send_task_sum;0.0003423214;0.0010438442;0.0047034979;0.0116022348;0.0454294682;0.1450298071;0.3141875505;0.5851531744;1.0746770859;
arr_offload_send_task_avg;0.0000349831;0.0001043844;0.0004849943;0.0012351155;0.0048297323;0.0157613722;0.0628375101;0.2925765872;1.0746770859;
arr_offload_recv_task_sum;0.0002541542;0.0009364367;0.0036941767;0.0105534315;0.0441418648;0.1427816153;0.3130685806;0.5841906071;1.0741716623;
arr_offload_recv_task_avg;0.0000259553;0.0000936437;0.0003810072;0.0011232652;0.0046925926;0.0155171810;0.0626137161;0.2920953036;1.0741716623;
arr_offload_send_res_sum;0.0000866174;0.0002200842;0.0012995243;0.0030255795;0.0106613398;0.0447441578;0.1224930763;0.1568344355;0.2725795269;
arr_offload_send_res_avg;0.0000088665;0.0000220084;0.0001343902;0.0003248962;0.0011452346;0.0048877303;0.0244986153;0.0784172177;0.2725795269;
arr_offload_recv_res_sum;0.0000251770;0.0000690222;0.0004724264;0.0015764952;0.0058075666;0.0201010704;0.0531625271;0.1133666277;0.2724072933;
arr_offload_recv_res_avg;0.0000025731;0.0000069022;0.0000486194;0.0001678811;0.0006184729;0.0021847976;0.0106325054;0.0566833138;0.2724072933;

arr_comb_send_task_avg;0.0000355458;0.0001049709;0.0004856219;0.0012357092;0.0048303599;0.0157620427;0.0628384590;0.2925835729;1.0746880531;
arr_comb_recv_task_avg;0.0000387576;0.0001050615;0.0003940519;0.0011393179;0.0047171238;0.0156321568;0.0626597834;0.2923875451;1.0742837667;
