Sizes;32x32;64x64;128x128;256x256;512x512;1024x1024;2048x2048;4096x4096;8192x8192;
SizePerMatrix;0.008 MiB;0.031 MiB;0.125 MiB;0.500 MiB;2.000 MiB;8.000 MiB;32.000 MiB;128.000 MiB;512.000 MiB;
arr_encode_sum;0.0001000643;0.0004454613;0.0019355774;0.0085861206;0.0274943352;0.0768571377;0.2516532421;0.3536038876;1.3603473425;
arr_encode_avg;0.0000103219;0.0000445461;0.0001935578;0.0008586121;0.0027494335;0.0094079369;0.0812494795;0.3536038876;1.3603473425;
arr_decode_sum;0.0001199961;0.0005746126;0.0019027471;0.0066345930;0.0388986587;0.1110600471;0.2333327293;0.2928614139;1.1782567978;
arr_decode_avg;0.0000123104;0.0000574613;0.0001902747;0.0006634593;0.0038898659;0.0135554463;0.0757220527;0.2928614139;1.1782567978;
arr_offload_send_task_sum;0.0001356602;0.0012649775;0.0020649195;0.0057003021;0.0216343880;0.1022889853;0.1203509808;0.2096451759;0.8452578068;
arr_offload_send_task_avg;0.0000140219;0.0001264977;0.0002064919;0.0005700302;0.0021634388;0.0124764429;0.0388631284;0.2096451759;0.8452578068;
arr_offload_recv_task_sum;0.0000544310;0.0004115820;0.0012856960;0.0048914194;0.0171396971;0.0586914539;0.1198088646;0.2092439175;0.8446917057;
arr_offload_recv_task_avg;0.0000055896;0.0000411582;0.0001285696;0.0004891420;0.0017139697;0.0071633319;0.0386852721;0.2092439175;0.8446917057;
arr_offload_send_res_sum;0.0001030207;0.0001878262;0.0011373758;0.0026001930;0.0072082043;0.0306552410;0.0672769308;0.1005534172;0.4039711714;
arr_offload_send_res_avg;0.0000105895;0.0000187826;0.0001137376;0.0002600193;0.0007208204;0.0037604236;0.0216136595;0.1005534172;0.4039711714;
arr_offload_recv_res_sum;0.0000197649;0.0000605583;0.0005306482;0.0020014763;0.0065593004;0.0216820717;0.0664945602;0.1003728867;0.4037903309;
arr_offload_recv_res_avg;0.0000020427;0.0000060558;0.0000530648;0.0002001476;0.0006559301;0.0026478552;0.0213615378;0.1003728867;0.4037903309;

arr_comb_send_task_avg;0.0000243439;0.0001710439;0.0004000497;0.0014286423;0.0049128723;0.0218843798;0.1201126079;0.5632490635;2.2056051492;
arr_comb_recv_task_avg;0.0000178999;0.0000986195;0.0003188443;0.0011526013;0.0056038356;0.0207187782;0.1144073248;0.5021053314;2.0229485035;
