Sizes;32x32;64x64;128x128;256x256;512x512;1024x1024;2048x2048;4096x4096;8192x8192;
SizePerMatrix;0.008 MiB;0.031 MiB;0.125 MiB;0.500 MiB;2.000 MiB;8.000 MiB;32.000 MiB;128.000 MiB;512.000 MiB;
arr_encode_sum;0.0000918865;0.0004258633;0.0019545794;0.0083625078;0.0275762319;0.0769802094;0.2525718212;0.3599110365;1.2677891970;
arr_encode_avg;0.0000095797;0.0000425863;0.0001954579;0.0008362508;0.0027576232;0.0096225262;0.0815529803;0.3599110365;1.2677891970;
arr_decode_sum;0.0001151562;0.0005600214;0.0019839764;0.0064497709;0.0382334948;0.1067843914;0.1911844969;0.1969468832;0.7937290192;
arr_decode_avg;0.0000119395;0.0000560021;0.0001983976;0.0006449771;0.0038233495;0.0133480489;0.0615825792;0.1969468832;0.7937290192;
arr_offload_send_task_sum;0.0001148224;0.0011610269;0.0021539450;0.0056124449;0.0217061281;0.1006590366;0.1216128588;0.2045223951;0.8150171280;
arr_offload_send_task_avg;0.0000119427;0.0001161027;0.0002153945;0.0005612445;0.0021706128;0.0125823796;0.0392861704;0.2045223951;0.8150171280;
arr_offload_recv_task_sum;0.0000503778;0.0004093409;0.0013087511;0.0049433470;0.0173399925;0.0566600084;0.1211685657;0.2040646791;0.8146060944;
arr_offload_recv_task_avg;0.0000052497;0.0000409341;0.0001308751;0.0004943347;0.0017339992;0.0070825011;0.0391409278;0.2040646791;0.8146060944;
arr_offload_send_res_sum;0.0000889778;0.0002358437;0.0012230635;0.0024624586;0.0073164940;0.0300005674;0.0677234650;0.1011093140;0.4137104749;
arr_offload_send_res_avg;0.0000093139;0.0000235844;0.0001223063;0.0002462459;0.0007316494;0.0037500709;0.0217551887;0.1011093140;0.4137104749;
arr_offload_recv_res_sum;0.0000217438;0.0000737667;0.0005323887;0.0018815994;0.0066627026;0.0210823774;0.0645532131;0.1009383917;0.4135210753;
arr_offload_recv_res_avg;0.0000022687;0.0000073767;0.0000532389;0.0001881600;0.0006662703;0.0026352972;0.0207057118;0.1009383917;0.4135210753;

arr_comb_send_task_avg;0.0000215223;0.0001586890;0.0004108524;0.0013974953;0.0049282360;0.0222049058;0.1208391507;0.5644334316;2.0828063250;
arr_comb_recv_task_avg;0.0000171892;0.0000969362;0.0003292727;0.0011393118;0.0055573487;0.0204305500;0.1007235070;0.4010115623;1.6083351135;
