TaskSelectionStrat ,PageSelectionStrat ,PageWeightStrat ,ConsiderTypes ,PageN ,TaskN ,MapMode ,CheckPhysical ,SlurmNodes ,SlurmTasksPerNode ,OmpNumThreads ,ChameleonVersion            ,Variation                                    ,PhaseTime ,Group ,SomeIndex
1                  ,2                  ,2               ,1             ,16    ,3     ,3       ,1             ,2          ,1                 ,47            ,chameleon/intel_no_affinity ,10_no_affinity                               ,2.1121    ,0     ,0
1                  ,2                  ,2               ,1             ,16    ,3     ,3       ,1             ,2          ,1                 ,47            ,chameleon/intel             ,10_affinity_default                          ,38.9017   ,0     ,1
3                  ,8                  ,2               ,0             ,16    ,16    ,3       ,0             ,2          ,1                 ,47            ,chameleon/intel             ,10_affinity_16EQS_Middle_Con-All_No-AlChPh   ,37.7634   ,0     ,2
3                  ,8                  ,2               ,0             ,16    ,16    ,0       ,0             ,2          ,1                 ,47            ,chameleon/intel             ,10_affinity_DomainMode_16EQS_Middle          ,36.9373   ,0     ,3
0                  ,8                  ,2               ,0             ,16    ,16    ,0       ,0             ,2          ,1                 ,47            ,chameleon/intel             ,10_affinity_NONE_MiddlePage                  ,37.7663   ,0     ,4
0                  ,0                  ,0               ,0             ,16    ,16    ,0       ,0             ,2          ,1                 ,47            ,chameleon/intel             ,10_affinity_NONE_FirstOfFirstPage            ,37.3176   ,0     ,5
0                  ,0                  ,0               ,0             ,16    ,16    ,0       ,0             ,2          ,1                 ,47            ,chameleon/intel_no_affinity ,50_no_affinity                               ,8.7966    ,1     ,0
1                  ,2                  ,2               ,1             ,16    ,3     ,3       ,1             ,2          ,1                 ,47            ,chameleon/intel             ,50_affinity_default                          ,197.2960  ,1     ,1
3                  ,8                  ,2               ,0             ,16    ,16    ,3       ,0             ,2          ,1                 ,47            ,chameleon/intel             ,50_affinity_16EQS_Middle_Con-All_No-AlChPh   ,193.5967  ,1     ,2
3                  ,8                  ,2               ,0             ,16    ,16    ,0       ,0             ,2          ,1                 ,47            ,chameleon/intel             ,50_affinity_DomainMode_16EQS_Middle          ,188.8539  ,1     ,3
0                  ,8                  ,2               ,0             ,16    ,16    ,0       ,0             ,2          ,1                 ,47            ,chameleon/intel             ,50_affinity_NONE_MiddlePage                  ,192.5237  ,1     ,4
0                  ,0                  ,0               ,0             ,16    ,16    ,0       ,0             ,2          ,1                 ,47            ,chameleon/intel             ,50_affinity_NONE_FirstOfFirstPage            ,188.0785  ,1     ,5
0                  ,0                  ,0               ,0             ,16    ,16    ,0       ,0             ,2          ,1                 ,47            ,chameleon/intel_no_affinity ,100_no_affinity                              ,18.7154   ,2     ,0
1                  ,2                  ,2               ,1             ,16    ,3     ,3       ,1             ,2          ,1                 ,47            ,chameleon/intel             ,100_affinity_default                         ,336.4242  ,2     ,1
3                  ,8                  ,2               ,0             ,16    ,16    ,3       ,0             ,2          ,1                 ,47            ,chameleon/intel             ,100_affinity_16EQS_Middle_Con-All_No-AlChPh  ,341.4400  ,2     ,2
3                  ,8                  ,2               ,0             ,16    ,16    ,0       ,0             ,2          ,1                 ,47            ,chameleon/intel             ,100_affinity_DomainMode_16EQS_Middle         ,346.4453  ,2     ,3
0                  ,8                  ,2               ,0             ,16    ,16    ,0       ,0             ,2          ,1                 ,47            ,chameleon/intel             ,100_affinity_NONE_MiddlePage                 ,347.8488  ,2     ,4
0                  ,0                  ,0               ,0             ,16    ,16    ,0       ,0             ,2          ,1                 ,47            ,chameleon/intel             ,100_affinity_NONE_FirstOfFirstPage           ,335.2746  ,2     ,5
0                  ,0                  ,0               ,0             ,16    ,16    ,0       ,0             ,2          ,1                 ,47            ,chameleon/intel_no_affinity ,250_no_affinity                              ,46.2159   ,3     ,0
1                  ,2                  ,2               ,1             ,16    ,3     ,3       ,1             ,2          ,1                 ,47            ,chameleon/intel             ,250_affinity_default                         ,699.1687  ,3     ,1
3                  ,8                  ,2               ,0             ,16    ,16    ,3       ,0             ,2          ,1                 ,47            ,chameleon/intel             ,250_affinity_16EQS_Middle_Con-All_No-AlChPh  ,723.9111  ,3     ,2
3                  ,8                  ,2               ,0             ,16    ,16    ,0       ,0             ,2          ,1                 ,47            ,chameleon/intel             ,250_affinity_DomainMode_16EQS_Middle         ,733.9100  ,3     ,3
0                  ,8                  ,2               ,0             ,16    ,16    ,0       ,0             ,2          ,1                 ,47            ,chameleon/intel             ,250_affinity_NONE_MiddlePage                 ,722.5187  ,3     ,4
0                  ,0                  ,0               ,0             ,16    ,16    ,0       ,0             ,2          ,1                 ,47            ,chameleon/intel             ,250_affinity_NONE_FirstOfFirstPage           ,719.3983  ,3     ,5
0                  ,0                  ,0               ,0             ,16    ,16    ,0       ,0             ,2          ,1                 ,47            ,chameleon/intel_no_affinity ,500_no_affinity                              ,93.1212   ,4     ,0
1                  ,2                  ,2               ,1             ,16    ,3     ,3       ,1             ,2          ,1                 ,47            ,chameleon/intel             ,500_affinity_default                         ,1324.9482 ,4     ,1
3                  ,8                  ,2               ,0             ,16    ,16    ,3       ,0             ,2          ,1                 ,47            ,chameleon/intel             ,500_affinity_16EQS_Middle_Con-All_No-AlChPh  ,1332.8581 ,4     ,2
3                  ,8                  ,2               ,0             ,16    ,16    ,0       ,0             ,2          ,1                 ,47            ,chameleon/intel             ,500_affinity_DomainMode_16EQS_Middle         ,1422.3054 ,4     ,3
0                  ,8                  ,2               ,0             ,16    ,16    ,0       ,0             ,2          ,1                 ,47            ,chameleon/intel             ,500_affinity_NONE_MiddlePage                 ,1377.5046 ,4     ,4
0                  ,0                  ,0               ,0             ,16    ,16    ,0       ,0             ,2          ,1                 ,47            ,chameleon/intel             ,500_affinity_NONE_FirstOfFirstPage           ,1364.7242 ,4     ,5
0                  ,0                  ,0               ,0             ,16    ,16    ,0       ,0             ,2          ,1                 ,47            ,chameleon/intel_no_affinity ,1000_no_affinity                             ,185.5851  ,5     ,0
1                  ,2                  ,2               ,1             ,16    ,3     ,3       ,1             ,2          ,1                 ,47            ,chameleon/intel             ,1000_affinity_default                        ,2589.5954 ,5     ,1
3                  ,8                  ,2               ,0             ,16    ,16    ,3       ,0             ,2          ,1                 ,47            ,chameleon/intel             ,1000_affinity_16EQS_Middle_Con-All_No-AlChPh ,2613.0653 ,5     ,2
3                  ,8                  ,2               ,0             ,16    ,16    ,0       ,0             ,2          ,1                 ,47            ,chameleon/intel             ,1000_affinity_DomainMode_16EQS_Middle        ,2589.2284 ,5     ,3
0                  ,8                  ,2               ,0             ,16    ,16    ,0       ,0             ,2          ,1                 ,47            ,chameleon/intel             ,1000_affinity_NONE_MiddlePage                ,2633.1740 ,5     ,4
0                  ,0                  ,0               ,0             ,16    ,16    ,0       ,0             ,2          ,1                 ,47            ,chameleon/intel             ,1000_affinity_NONE_FirstOfFirstPage          ,2603.9387 ,5     ,5
