TaskSelectionStrat,PageSelectionStrat,PageWeightStrat,ConsiderTypes,PageN,TaskN,MapMode,CheckPhysical,SlurmNodes,SlurmTasksPerNode,OmpNumThreads,ChameleonVersion,Variation,PhaseTime,Group,SomeIndex
1,2,2,1,16,3,3,1,2,1,4,chameleon/intel_no_affinity,10_no_affinity,9.5461,0,0
1,2,2,1,16,3,3,1,2,1,4,chameleon/intel,10_affinity_default,9.9399,0,1
3,8,2,0,16,16,3,0,2,1,4,chameleon/intel,10_affinity_16EQS_Middle_Con-All_No-AlChPh,10.1874,0,2
3,8,2,0,16,16,0,0,2,1,4,chameleon/intel,10_affinity_DomainMode_16EQS_Middle,9.9943,0,3
0,8,2,0,16,16,0,0,2,1,4,chameleon/intel,10_affinity_NONE_MiddlePage,9.9959,0,4
0,0,0,0,16,16,0,0,2,1,4,chameleon/intel,10_affinity_NONE_FirstOfFirstPage,10.1637,0,5
0,0,0,0,16,16,0,0,2,1,4,chameleon/intel_no_affinity,50_no_affinity,48.9763,1,0
1,2,2,1,16,3,3,1,2,1,4,chameleon/intel,50_affinity_default,51.6772,1,1
3,8,2,0,16,16,3,0,2,1,4,chameleon/intel,50_affinity_16EQS_Middle_Con-All_No-AlChPh,51.3786,1,2
3,8,2,0,16,16,0,0,2,1,4,chameleon/intel,50_affinity_DomainMode_16EQS_Middle,52.1323,1,3
0,8,2,0,16,16,0,0,2,1,4,chameleon/intel,50_affinity_NONE_MiddlePage,51.4421,1,4
0,0,0,0,16,16,0,0,2,1,4,chameleon/intel,50_affinity_NONE_FirstOfFirstPage,51.6854,1,5
0,0,0,0,16,16,0,0,2,1,4,chameleon/intel_no_affinity,100_no_affinity,96.0842,2,0
1,2,2,1,16,3,3,1,2,1,4,chameleon/intel,100_affinity_default,101.0639,2,1
3,8,2,0,16,16,3,0,2,1,4,chameleon/intel,100_affinity_16EQS_Middle_Con-All_No-AlChPh,100.7822,2,2
3,8,2,0,16,16,0,0,2,1,4,chameleon/intel,100_affinity_DomainMode_16EQS_Middle,101.4079,2,3
0,8,2,0,16,16,0,0,2,1,4,chameleon/intel,100_affinity_NONE_MiddlePage,100.2017,2,4
0,0,0,0,16,16,0,0,2,1,4,chameleon/intel,100_affinity_NONE_FirstOfFirstPage,101.6769,2,5
0,0,0,0,16,16,0,0,2,1,4,chameleon/intel_no_affinity,250_no_affinity,231.4589,3,0
1,2,2,1,16,3,3,1,2,1,4,chameleon/intel,250_affinity_default,240.7125,3,1
3,8,2,0,16,16,3,0,2,1,4,chameleon/intel,250_affinity_16EQS_Middle_Con-All_No-AlChPh,239.3295,3,2
3,8,2,0,16,16,0,0,2,1,4,chameleon/intel,250_affinity_DomainMode_16EQS_Middle,239.8486,3,3
0,8,2,0,16,16,0,0,2,1,4,chameleon/intel,250_affinity_NONE_MiddlePage,239.3985,3,4
0,0,0,0,16,16,0,0,2,1,4,chameleon/intel,250_affinity_NONE_FirstOfFirstPage,240.5326,3,5
0,0,0,0,16,16,0,0,2,1,4,chameleon/intel_no_affinity,500_no_affinity,456.5113,4,0
1,2,2,1,16,3,3,1,2,1,4,chameleon/intel,500_affinity_default,469.1717,4,1
3,8,2,0,16,16,3,0,2,1,4,chameleon/intel,500_affinity_16EQS_Middle_Con-All_No-AlChPh,467.5094,4,2
3,8,2,0,16,16,0,0,2,1,4,chameleon/intel,500_affinity_DomainMode_16EQS_Middle,468.8812,4,3
0,8,2,0,16,16,0,0,2,1,4,chameleon/intel,500_affinity_NONE_MiddlePage,468.1608,4,4
0,0,0,0,16,16,0,0,2,1,4,chameleon/intel,500_affinity_NONE_FirstOfFirstPage,468.7045,4,5
0,0,0,0,16,16,0,0,2,1,4,chameleon/intel_no_affinity,1000_no_affinity,907.8319,5,0
1,2,2,1,16,3,3,1,2,1,4,chameleon/intel,1000_affinity_default,929.5915,5,1
3,8,2,0,16,16,3,0,2,1,4,chameleon/intel,1000_affinity_16EQS_Middle_Con-All_No-AlChPh,927.6317,5,2
3,8,2,0,16,16,0,0,2,1,4,chameleon/intel,1000_affinity_DomainMode_16EQS_Middle,928.3705,5,3
0,8,2,0,16,16,0,0,2,1,4,chameleon/intel,1000_affinity_NONE_MiddlePage,928.5038,5,4
0,0,0,0,16,16,0,0,2,1,4,chameleon/intel,1000_affinity_NONE_FirstOfFirstPage,927.7820,5,5
