TaskSelectionStrat,PageSelectionStrat,PageWeightStrat,ConsiderTypes,PageN,TaskN,MapMode,CheckPhysical,SlurmNodes,SlurmTasksPerNode,OmpNumThreads,ChameleonVersion,Variation,PhaseTime,Group,SomeIndex
1,2,2,1,16,3,3,1,2,1,16,chameleon/intel_no_affinity,10-Steps_16-Threads_no_affinity,3.1601,0,0
1,2,2,1,16,3,3,1,2,1,16,chameleon/intel,10-Steps_16-Threads_affinity_default,9.3214,0,1
1,2,2,1,16,3,3,0,2,1,16,chameleon/intel,10-Steps_16-Threads_affinity_NoAlwaysCheckPhysical,5.0013,0,2
3,8,2,0,16,16,3,0,2,1,16,chameleon/intel,10-Steps_16-Threads_affinity_16EQS_Middle_Con-All_No-AlChPh,3.1649,0,3
3,8,2,0,16,16,0,0,2,1,16,chameleon/intel,10-Steps_16-Threads_affinity_DomainMode_16EQS_Middle,3.1959,0,4
0,8,2,0,16,16,0,0,2,1,16,chameleon/intel,10-Steps_16-Threads_affinity_NONE_MiddlePage,3.2018,0,5
0,0,0,0,16,16,0,0,2,1,16,chameleon/intel,10-Steps_16-Threads_affinity_NONE_FirstOfFirstPage,3.1901,0,6
0,0,0,0,16,16,0,0,2,1,16,chameleon/intel_no_affinity,50-Steps_16-Threads_no_affinity,15.6753,1,0
1,2,2,1,16,3,3,1,2,1,16,chameleon/intel,50-Steps_16-Threads_affinity_default,57.1726,1,1
1,2,2,1,16,3,3,0,2,1,16,chameleon/intel,50-Steps_16-Threads_affinity_NoAlwaysCheckPhysical,27.2885,1,2
3,8,2,0,16,16,3,0,2,1,16,chameleon/intel,50-Steps_16-Threads_affinity_16EQS_Middle_Con-All_No-AlChPh,15.9337,1,3
3,8,2,0,16,16,0,0,2,1,16,chameleon/intel,50-Steps_16-Threads_affinity_DomainMode_16EQS_Middle,15.6351,1,4
0,8,2,0,16,16,0,0,2,1,16,chameleon/intel,50-Steps_16-Threads_affinity_NONE_MiddlePage,15.1420,1,5
0,0,0,0,16,16,0,0,2,1,16,chameleon/intel,50-Steps_16-Threads_affinity_NONE_FirstOfFirstPage,16.6597,1,6
0,0,0,0,16,16,0,0,2,1,16,chameleon/intel_no_affinity,100-Steps_16-Threads_no_affinity,29.4777,2,0
1,2,2,1,16,3,3,1,2,1,16,chameleon/intel,100-Steps_16-Threads_affinity_default,94.0195,2,1
1,2,2,1,16,3,3,0,2,1,16,chameleon/intel,100-Steps_16-Threads_affinity_NoAlwaysCheckPhysical,53.1708,2,2
3,8,2,0,16,16,3,0,2,1,16,chameleon/intel,100-Steps_16-Threads_affinity_16EQS_Middle_Con-All_No-AlChPh,30.6957,2,3
3,8,2,0,16,16,0,0,2,1,16,chameleon/intel,100-Steps_16-Threads_affinity_DomainMode_16EQS_Middle,30.1436,2,4
0,8,2,0,16,16,0,0,2,1,16,chameleon/intel,100-Steps_16-Threads_affinity_NONE_MiddlePage,29.5791,2,5
0,0,0,0,16,16,0,0,2,1,16,chameleon/intel,100-Steps_16-Threads_affinity_NONE_FirstOfFirstPage,29.2155,2,6
0,0,0,0,16,16,0,0,2,1,16,chameleon/intel_no_affinity,250-Steps_16-Threads_no_affinity,73.3048,3,0
1,2,2,1,16,3,3,1,2,1,16,chameleon/intel,250-Steps_16-Threads_affinity_default,180.5171,3,1
1,2,2,1,16,3,3,0,2,1,16,chameleon/intel,250-Steps_16-Threads_affinity_NoAlwaysCheckPhysical,131.0892,3,2
3,8,2,0,16,16,3,0,2,1,16,chameleon/intel,250-Steps_16-Threads_affinity_16EQS_Middle_Con-All_No-AlChPh,74.1588,3,3
3,8,2,0,16,16,0,0,2,1,16,chameleon/intel,250-Steps_16-Threads_affinity_DomainMode_16EQS_Middle,72.4852,3,4
0,8,2,0,16,16,0,0,2,1,16,chameleon/intel,250-Steps_16-Threads_affinity_NONE_MiddlePage,72.3985,3,5
0,0,0,0,16,16,0,0,2,1,16,chameleon/intel,250-Steps_16-Threads_affinity_NONE_FirstOfFirstPage,72.5719,3,6
0,0,0,0,16,16,0,0,2,1,16,chameleon/intel_no_affinity,500-Steps_16-Threads_no_affinity,144.7955,4,0
1,2,2,1,16,3,3,1,2,1,16,chameleon/intel,500-Steps_16-Threads_affinity_default,320.1770,4,1
1,2,2,1,16,3,3,0,2,1,16,chameleon/intel,500-Steps_16-Threads_affinity_NoAlwaysCheckPhysical,258.1732,4,2
3,8,2,0,16,16,3,0,2,1,16,chameleon/intel,500-Steps_16-Threads_affinity_16EQS_Middle_Con-All_No-AlChPh,144.7670,4,3
3,8,2,0,16,16,0,0,2,1,16,chameleon/intel,500-Steps_16-Threads_affinity_DomainMode_16EQS_Middle,145.1043,4,4
0,8,2,0,16,16,0,0,2,1,16,chameleon/intel,500-Steps_16-Threads_affinity_NONE_MiddlePage,141.4182,4,5
0,0,0,0,16,16,0,0,2,1,16,chameleon/intel,500-Steps_16-Threads_affinity_NONE_FirstOfFirstPage,144.3406,4,6
0,0,0,0,16,16,0,0,2,1,16,chameleon/intel_no_affinity,1000-Steps_16-Threads_no_affinity,285.2823,5,0
1,2,2,1,16,3,3,1,2,1,16,chameleon/intel,1000-Steps_16-Threads_affinity_default,539.5254,5,1
1,2,2,1,16,3,3,0,2,1,16,chameleon/intel,1000-Steps_16-Threads_affinity_NoAlwaysCheckPhysical,515.4319,5,2
3,8,2,0,16,16,3,0,2,1,16,chameleon/intel,1000-Steps_16-Threads_affinity_16EQS_Middle_Con-All_No-AlChPh,290.7641,5,3
3,8,2,0,16,16,0,0,2,1,16,chameleon/intel,1000-Steps_16-Threads_affinity_DomainMode_16EQS_Middle,282.4497,5,4
0,8,2,0,16,16,0,0,2,1,16,chameleon/intel,1000-Steps_16-Threads_affinity_NONE_MiddlePage,289.1321,5,5
0,0,0,0,16,16,0,0,2,1,16,chameleon/intel,1000-Steps_16-Threads_affinity_NONE_FirstOfFirstPage,285.2617,5,6
