TaskSelectionStrat ,PageSelectionStrat ,PageWeightStrat ,ConsiderTypes ,PageN ,TaskN ,MapMode ,CheckPhysical ,SlurmNodes ,SlurmTasksPerNode ,OmpNumThreads ,ChameleonVersion            ,Variation                                  ,PhaseTime ,Group ,SomeIndex
1                  ,2                  ,2               ,1             ,16    ,3     ,3       ,1             ,2          ,1                 ,4             ,chameleon/intel_no_affinity ,50_no_affinity                             ,48.8732   ,0     ,0
1                  ,2                  ,2               ,1             ,16    ,3     ,3       ,1             ,2          ,1                 ,4             ,chameleon/intel             ,50_affinity_default                        ,51.3905   ,0     ,1
3                  ,8                  ,2               ,0             ,16    ,16    ,3       ,0             ,2          ,1                 ,4             ,chameleon/intel             ,50_affinity_16EQS_Middle_Con-All_No-AlChPh ,51.6381   ,0     ,2
3                  ,8                  ,2               ,0             ,16    ,16    ,0       ,0             ,2          ,1                 ,4             ,chameleon/intel             ,50_affinity_DomainMode_16EQS_Middle        ,51.3651   ,0     ,3
0                  ,8                  ,2               ,0             ,16    ,16    ,0       ,0             ,2          ,1                 ,4             ,chameleon/intel             ,50_affinity_NONE_MiddlePage                ,51.5413   ,0     ,4
0                  ,0                  ,0               ,0             ,16    ,16    ,0       ,0             ,2          ,1                 ,4             ,chameleon/intel             ,50_affinity_NONE_FirstOfFirstPage          ,51.2580   ,0     ,5
1                  ,2                  ,2               ,1             ,16    ,3     ,3       ,1             ,2          ,1                 ,8             ,chameleon/intel_no_affinity ,50_no_affinity                             ,26.3106   ,1     ,0
1                  ,2                  ,2               ,1             ,16    ,3     ,3       ,1             ,2          ,1                 ,8             ,chameleon/intel             ,50_affinity_default                        ,33.8114   ,1     ,1
3                  ,8                  ,2               ,0             ,16    ,16    ,3       ,0             ,2          ,1                 ,8             ,chameleon/intel             ,50_affinity_16EQS_Middle_Con-All_No-AlChPh ,35.7447   ,1     ,2
3                  ,8                  ,2               ,0             ,16    ,16    ,0       ,0             ,2          ,1                 ,8             ,chameleon/intel             ,50_affinity_DomainMode_16EQS_Middle        ,34.5131   ,1     ,3
0                  ,8                  ,2               ,0             ,16    ,16    ,0       ,0             ,2          ,1                 ,8             ,chameleon/intel             ,50_affinity_NONE_MiddlePage                ,33.5517   ,1     ,4
0                  ,0                  ,0               ,0             ,16    ,16    ,0       ,0             ,2          ,1                 ,8             ,chameleon/intel             ,50_affinity_NONE_FirstOfFirstPage          ,34.4590   ,1     ,5
1                  ,2                  ,2               ,1             ,16    ,3     ,3       ,1             ,2          ,1                 ,16            ,chameleon/intel_no_affinity ,50_no_affinity                             ,15.6280   ,2     ,0
1                  ,2                  ,2               ,1             ,16    ,3     ,3       ,1             ,2          ,1                 ,16            ,chameleon/intel             ,50_affinity_default                        ,58.6983   ,2     ,1
3                  ,8                  ,2               ,0             ,16    ,16    ,3       ,0             ,2          ,1                 ,16            ,chameleon/intel             ,50_affinity_16EQS_Middle_Con-All_No-AlChPh ,60.2448   ,2     ,2
3                  ,8                  ,2               ,0             ,16    ,16    ,0       ,0             ,2          ,1                 ,16            ,chameleon/intel             ,50_affinity_DomainMode_16EQS_Middle        ,60.8361   ,2     ,3
0                  ,8                  ,2               ,0             ,16    ,16    ,0       ,0             ,2          ,1                 ,16            ,chameleon/intel             ,50_affinity_NONE_MiddlePage                ,60.2628   ,2     ,4
0                  ,0                  ,0               ,0             ,16    ,16    ,0       ,0             ,2          ,1                 ,16            ,chameleon/intel             ,50_affinity_NONE_FirstOfFirstPage          ,62.4725   ,2     ,5
0                  ,0                  ,0               ,0             ,16    ,16    ,0       ,0             ,2          ,1                 ,47            ,chameleon/intel_no_affinity ,50_no_affinity                             ,8.7966    ,3     ,0
1                  ,2                  ,2               ,1             ,16    ,3     ,3       ,1             ,2          ,1                 ,47            ,chameleon/intel             ,50_affinity_default                        ,197.2960  ,3     ,1
3                  ,8                  ,2               ,0             ,16    ,16    ,3       ,0             ,2          ,1                 ,47            ,chameleon/intel             ,50_affinity_16EQS_Middle_Con-All_No-AlChPh ,193.5967  ,3     ,2
3                  ,8                  ,2               ,0             ,16    ,16    ,0       ,0             ,2          ,1                 ,47            ,chameleon/intel             ,50_affinity_DomainMode_16EQS_Middle        ,188.8539  ,3     ,3
0                  ,8                  ,2               ,0             ,16    ,16    ,0       ,0             ,2          ,1                 ,47            ,chameleon/intel             ,50_affinity_NONE_MiddlePage                ,192.5237  ,3     ,4
0                  ,0                  ,0               ,0             ,16    ,16    ,0       ,0             ,2          ,1                 ,47            ,chameleon/intel             ,50_affinity_NONE_FirstOfFirstPage          ,188.0785  ,3     ,5
