TaskSelectionStrat ,PageSelectionStrat ,PageWeightStrat ,ConsiderTypes ,PageN ,TaskN ,MapMode ,CheckPhysical ,SlurmNodes ,SlurmTasksPerNode ,OmpNumThreads ,ChameleonVersion            ,Variation                                                   ,PhaseTime ,Group ,SomeIndex
1                  ,2                  ,2               ,1             ,16    ,3     ,3       ,1             ,2          ,1                 ,4             ,chameleon/intel_no_affinity ,50-Steps_4-Threads_no_affinity                              ,50.6255   ,0     ,0
1                  ,2                  ,2               ,1             ,16    ,3     ,3       ,1             ,2          ,1                 ,4             ,chameleon/intel             ,50-Steps_4-Threads_affinity_default                         ,53.2103   ,0     ,1
3                  ,8                  ,2               ,0             ,16    ,16    ,3       ,0             ,2          ,1                 ,4             ,chameleon/intel             ,50-Steps_4-Threads_affinity_16EQS_Middle_Con-All_No-AlChPh  ,50.4512   ,0     ,2
3                  ,8                  ,2               ,0             ,16    ,16    ,0       ,0             ,2          ,1                 ,4             ,chameleon/intel             ,50-Steps_4-Threads_affinity_DomainMode_16EQS_Middle         ,50.9928   ,0     ,3
0                  ,8                  ,2               ,0             ,16    ,16    ,0       ,0             ,2          ,1                 ,4             ,chameleon/intel             ,50-Steps_4-Threads_affinity_NONE_MiddlePage                 ,50.7545   ,0     ,4
0                  ,0                  ,0               ,0             ,16    ,16    ,0       ,0             ,2          ,1                 ,4             ,chameleon/intel             ,50-Steps_4-Threads_affinity_NONE_FirstOfFirstPage           ,49.4555   ,0     ,5
0                  ,0                  ,0               ,0             ,16    ,16    ,0       ,0             ,2          ,1                 ,8             ,chameleon/intel_no_affinity ,50-Steps_8-Threads_no_affinity                              ,26.4043   ,0     ,0
1                  ,2                  ,2               ,1             ,16    ,3     ,3       ,1             ,2          ,1                 ,8             ,chameleon/intel             ,50-Steps_8-Threads_affinity_default                         ,34.6387   ,0     ,1
3                  ,8                  ,2               ,0             ,16    ,16    ,3       ,0             ,2          ,1                 ,8             ,chameleon/intel             ,50-Steps_8-Threads_affinity_16EQS_Middle_Con-All_No-AlChPh  ,26.5084   ,0     ,2
3                  ,8                  ,2               ,0             ,16    ,16    ,0       ,0             ,2          ,1                 ,8             ,chameleon/intel             ,50-Steps_8-Threads_affinity_DomainMode_16EQS_Middle         ,26.4125   ,0     ,3
0                  ,8                  ,2               ,0             ,16    ,16    ,0       ,0             ,2          ,1                 ,8             ,chameleon/intel             ,50-Steps_8-Threads_affinity_NONE_MiddlePage                 ,26.4056   ,0     ,4
0                  ,0                  ,0               ,0             ,16    ,16    ,0       ,0             ,2          ,1                 ,8             ,chameleon/intel             ,50-Steps_8-Threads_affinity_NONE_FirstOfFirstPage           ,26.3209   ,0     ,5
0                  ,0                  ,0               ,0             ,16    ,16    ,0       ,0             ,2          ,1                 ,16            ,chameleon/intel_no_affinity ,50-Steps_16-Threads_no_affinity                             ,16.3767   ,0     ,0
1                  ,2                  ,2               ,1             ,16    ,3     ,3       ,1             ,2          ,1                 ,16            ,chameleon/intel             ,50-Steps_16-Threads_affinity_default                        ,60.5743   ,0     ,1
3                  ,8                  ,2               ,0             ,16    ,16    ,3       ,0             ,2          ,1                 ,16            ,chameleon/intel             ,50-Steps_16-Threads_affinity_16EQS_Middle_Con-All_No-AlChPh ,16.0230   ,0     ,2
3                  ,8                  ,2               ,0             ,16    ,16    ,0       ,0             ,2          ,1                 ,16            ,chameleon/intel             ,50-Steps_16-Threads_affinity_DomainMode_16EQS_Middle        ,16.0887   ,0     ,3
0                  ,8                  ,2               ,0             ,16    ,16    ,0       ,0             ,2          ,1                 ,16            ,chameleon/intel             ,50-Steps_16-Threads_affinity_NONE_MiddlePage                ,14.8317   ,0     ,4
0                  ,0                  ,0               ,0             ,16    ,16    ,0       ,0             ,2          ,1                 ,16            ,chameleon/intel             ,50-Steps_16-Threads_affinity_NONE_FirstOfFirstPage          ,16.7409   ,0     ,5
0                  ,0                  ,0               ,0             ,16    ,16    ,0       ,0             ,2          ,1                 ,47            ,chameleon/intel_no_affinity ,50-Steps_47-Threads_no_affinity                             ,8.6072    ,0     ,0
1                  ,2                  ,2               ,1             ,16    ,3     ,3       ,1             ,2          ,1                 ,47            ,chameleon/intel             ,50-Steps_47-Threads_affinity_default                        ,191.4290  ,0     ,1
3                  ,8                  ,2               ,0             ,16    ,16    ,3       ,0             ,2          ,1                 ,47            ,chameleon/intel             ,50-Steps_47-Threads_affinity_16EQS_Middle_Con-All_No-AlChPh ,14.8963   ,0     ,2
3                  ,8                  ,2               ,0             ,16    ,16    ,0       ,0             ,2          ,1                 ,47            ,chameleon/intel             ,50-Steps_47-Threads_affinity_DomainMode_16EQS_Middle        ,11.0768   ,0     ,3
0                  ,8                  ,2               ,0             ,16    ,16    ,0       ,0             ,2          ,1                 ,47            ,chameleon/intel             ,50-Steps_47-Threads_affinity_NONE_MiddlePage                ,8.9232    ,0     ,4
0                  ,0                  ,0               ,0             ,16    ,16    ,0       ,0             ,2          ,1                 ,47            ,chameleon/intel             ,50-Steps_47-Threads_affinity_NONE_FirstOfFirstPage          ,8.8168    ,0     ,5
