TaskSelectionStrat,PageSelectionStrat,PageWeightStrat,ConsiderTypes,PageN,TaskN,MapMode,CheckPhysical,SlurmNodes,SlurmTasksPerNode,OmpNumThreads,ChameleonVersion,Variation,PhaseTime,Group,SomeIndex
0,0,0,0,16,16,0,0,2,1,16,chameleon/intel_no_affinity,50-Steps_16-Threads_no_affinity,16.6600,0,0
1,2,2,1,16,3,3,1,2,1,16,chameleon/intel,50-Steps_16-Threads_affinity_default,59.5290,0,1
1,2,2,1,16,3,3,0,2,1,16,chameleon/intel,50-Steps_16-Threads_affinity_NoAlwaysCheckPhysical,27.2963,0,2
3,8,2,0,16,16,3,0,2,1,16,chameleon/intel,50-Steps_16-Threads_affinity_16EQS_Middle_Con-All_No-AlChPh,15.6286,0,3
3,8,2,0,16,16,0,0,2,1,16,chameleon/intel,50-Steps_16-Threads_affinity_DomainMode_16EQS_Middle,15.7225,0,4
0,8,2,0,16,16,0,0,2,1,16,chameleon/intel,50-Steps_16-Threads_affinity_NONE_MiddlePage,16.3453,0,5
0,0,0,0,16,16,0,0,2,1,16,chameleon/intel,50-Steps_16-Threads_affinity_NONE_FirstOfFirstPage,15.4470,0,6
1,2,2,1,16,3,3,1,2,1,4,chameleon/intel_no_affinity,50-Steps_4-Threads_no_affinity,50.8957,0,0
1,2,2,1,16,3,3,1,2,1,4,chameleon/intel,50-Steps_4-Threads_affinity_default,53.4726,0,1
1,2,2,1,16,3,3,0,2,1,4,chameleon/intel,50-Steps_4-Threads_affinity_NoAlwaysCheckPhysical,52.1106,0,2
3,8,2,0,16,16,3,0,2,1,4,chameleon/intel,50-Steps_4-Threads_affinity_16EQS_Middle_Con-All_No-AlChPh,51.0493,0,3
3,8,2,0,16,16,0,0,2,1,4,chameleon/intel,50-Steps_4-Threads_affinity_DomainMode_16EQS_Middle,51.8035,0,4
0,8,2,0,16,16,0,0,2,1,4,chameleon/intel,50-Steps_4-Threads_affinity_NONE_MiddlePage,51.0809,0,5
0,0,0,0,16,16,0,0,2,1,4,chameleon/intel,50-Steps_4-Threads_affinity_NONE_FirstOfFirstPage,50.7158,0,6
0,0,0,0,16,16,0,0,2,1,47,chameleon/intel_no_affinity,50-Steps_47-Threads_no_affinity,8.7363,0,0
1,2,2,1,16,3,3,1,2,1,47,chameleon/intel,50-Steps_47-Threads_affinity_default,190.5045,0,1
1,2,2,1,16,3,3,0,2,1,47,chameleon/intel,50-Steps_47-Threads_affinity_NoAlwaysCheckPhysical,92.4441,0,2
3,8,2,0,16,16,3,0,2,1,47,chameleon/intel,50-Steps_47-Threads_affinity_16EQS_Middle_Con-All_No-AlChPh,15.1272,0,3
3,8,2,0,16,16,0,0,2,1,47,chameleon/intel,50-Steps_47-Threads_affinity_DomainMode_16EQS_Middle,10.6303,0,4
0,8,2,0,16,16,0,0,2,1,47,chameleon/intel,50-Steps_47-Threads_affinity_NONE_MiddlePage,8.9020,0,5
0,0,0,0,16,16,0,0,2,1,47,chameleon/intel,50-Steps_47-Threads_affinity_NONE_FirstOfFirstPage,8.8450,0,6
0,0,0,0,16,16,0,0,2,1,8,chameleon/intel_no_affinity,50-Steps_8-Threads_no_affinity,26.4914,0,0
1,2,2,1,16,3,3,1,2,1,8,chameleon/intel,50-Steps_8-Threads_affinity_default,35.2509,0,1
1,2,2,1,16,3,3,0,2,1,8,chameleon/intel,50-Steps_8-Threads_affinity_NoAlwaysCheckPhysical,27.6677,0,2
3,8,2,0,16,16,3,0,2,1,8,chameleon/intel,50-Steps_8-Threads_affinity_16EQS_Middle_Con-All_No-AlChPh,26.5266,0,3
3,8,2,0,16,16,0,0,2,1,8,chameleon/intel,50-Steps_8-Threads_affinity_DomainMode_16EQS_Middle,26.5107,0,4
0,8,2,0,16,16,0,0,2,1,8,chameleon/intel,50-Steps_8-Threads_affinity_NONE_MiddlePage,26.5641,0,5
0,0,0,0,16,16,0,0,2,1,8,chameleon/intel,50-Steps_8-Threads_affinity_NONE_FirstOfFirstPage,26.5251,0,6
